number	type	latency	urevent	epoch
1.000000	201	52.000000	5.000000	1.000000
2.000000	201	257.000000	41.000000	2.000000
3.000000	201	462.000000	47.000000	3.000000
4.000000	201	667.000000	53.000000	4.000000
5.000000	201	872.000000	59.000000	5.000000
6.000000	201	1077.000000	77.000000	6.000000
7.000000	201	1282.000000	83.000000	7.000000
8.000000	201	1487.000000	89.000000	8.000000
9.000000	201	1692.000000	95.000000	9.000000
10.000000	201	1897.000000	101.000000	10.000000
11.000000	201	2102.000000	107.000000	11.000000
12.000000	201	2307.000000	119.000000	12.000000
13.000000	201	2512.000000	131.000000	13.000000
14.000000	201	2717.000000	137.000000	14.000000
15.000000	201	2922.000000	149.000000	15.000000
16.000000	201	3127.000000	155.000000	16.000000
17.000000	201	3332.000000	161.000000	17.000000
18.000000	201	3537.000000	173.000000	18.000000
19.000000	201	3742.000000	179.000000	19.000000
20.000000	201	3947.000000	185.000000	20.000000
21.000000	201	4152.000000	203.000000	21.000000
22.000000	201	4357.000000	221.000000	22.000000
23.000000	201	4562.000000	227.000000	23.000000
24.000000	201	4767.000000	239.000000	24.000000
25.000000	201	4972.000000	245.000000	25.000000
26.000000	201	5177.000000	251.000000	26.000000
27.000000	201	5382.000000	257.000000	27.000000
28.000000	201	5587.000000	263.000000	28.000000
29.000000	201	5792.000000	269.000000	29.000000
30.000000	201	5997.000000	299.000000	30.000000
31.000000	201	6202.000000	305.000000	31.000000
32.000000	201	6407.000000	311.000000	32.000000
33.000000	201	6612.000000	317.000000	33.000000
34.000000	201	6817.000000	323.000000	34.000000
35.000000	201	7022.000000	329.000000	35.000000
36.000000	201	7227.000000	335.000000	36.000000
37.000000	201	7432.000000	341.000000	37.000000
38.000000	201	7637.000000	353.000000	38.000000
39.000000	201	7842.000000	371.000000	39.000000
40.000000	201	8047.000000	377.000000	40.000000
41.000000	201	8252.000000	389.000000	41.000000
42.000000	201	8457.000000	401.000000	42.000000
43.000000	201	8662.000000	407.000000	43.000000
44.000000	201	8867.000000	413.000000	44.000000
45.000000	201	9072.000000	419.000000	45.000000
46.000000	201	9277.000000	425.000000	46.000000
47.000000	201	9482.000000	431.000000	47.000000
48.000000	201	9687.000000	443.000000	48.000000
49.000000	201	9892.000000	449.000000	49.000000
50.000000	201	10097.000000	455.000000	50.000000
51.000000	201	10302.000000	461.000000	51.000000
52.000000	201	10507.000000	467.000000	52.000000
53.000000	201	10712.000000	479.000000	53.000000
54.000000	201	10917.000000	493.000000	54.000000
55.000000	201	11122.000000	499.000000	55.000000
56.000000	201	11327.000000	505.000000	56.000000
57.000000	201	11532.000000	511.000000	57.000000
58.000000	201	11737.000000	517.000000	58.000000
59.000000	201	11942.000000	523.000000	59.000000
60.000000	201	12147.000000	535.000000	60.000000
61.000000	201	12352.000000	541.000000	61.000000
62.000000	201	12557.000000	547.000000	62.000000
63.000000	201	12762.000000	553.000000	63.000000
64.000000	201	12967.000000	589.000000	64.000000
65.000000	201	13172.000000	601.000000	65.000000
66.000000	201	13377.000000	607.000000	66.000000
67.000000	201	13582.000000	613.000000	67.000000
68.000000	201	13787.000000	619.000000	68.000000
69.000000	201	13992.000000	625.000000	69.000000
70.000000	201	14197.000000	631.000000	70.000000
71.000000	201	14402.000000	637.000000	71.000000
72.000000	201	14607.000000	643.000000	72.000000
73.000000	201	14812.000000	649.000000	73.000000
74.000000	201	15017.000000	655.000000	74.000000
75.000000	201	15222.000000	661.000000	75.000000
76.000000	201	15427.000000	685.000000	76.000000
77.000000	201	15632.000000	691.000000	77.000000
78.000000	201	15837.000000	697.000000	78.000000
79.000000	201	16042.000000	703.000000	79.000000
80.000000	201	16247.000000	721.000000	80.000000
81.000000	201	16452.000000	733.000000	81.000000
82.000000	201	16657.000000	739.000000	82.000000
83.000000	201	16862.000000	751.000000	83.000000
84.000000	201	17067.000000	757.000000	84.000000
85.000000	201	17272.000000	763.000000	85.000000
86.000000	201	17477.000000	769.000000	86.000000
87.000000	201	17682.000000	775.000000	87.000000
88.000000	201	17887.000000	781.000000	88.000000
89.000000	201	18092.000000	787.000000	89.000000
90.000000	201	18297.000000	793.000000	90.000000
91.000000	201	18502.000000	799.000000	91.000000
92.000000	201	18707.000000	805.000000	92.000000
93.000000	201	18912.000000	817.000000	93.000000
94.000000	201	19117.000000	823.000000	94.000000
95.000000	201	19322.000000	829.000000	95.000000
96.000000	201	19527.000000	841.000000	96.000000
97.000000	201	19732.000000	847.000000	97.000000
98.000000	201	19937.000000	853.000000	98.000000
99.000000	201	20142.000000	865.000000	99.000000
100.000000	201	20347.000000	871.000000	100.000000
101.000000	201	20552.000000	883.000000	101.000000
102.000000	201	20757.000000	889.000000	102.000000
103.000000	201	20962.000000	895.000000	103.000000
104.000000	201	21167.000000	901.000000	104.000000
105.000000	201	21372.000000	913.000000	105.000000
106.000000	201	21577.000000	919.000000	106.000000
107.000000	201	21782.000000	943.000000	107.000000
108.000000	201	21987.000000	955.000000	108.000000
109.000000	201	22192.000000	969.000000	109.000000
110.000000	201	22397.000000	975.000000	110.000000
111.000000	201	22602.000000	981.000000	111.000000
112.000000	201	22807.000000	987.000000	112.000000
113.000000	201	23012.000000	1005.000000	113.000000
114.000000	201	23217.000000	1011.000000	114.000000
115.000000	201	23422.000000	1017.000000	115.000000
116.000000	201	23627.000000	1023.000000	116.000000
117.000000	201	23832.000000	1029.000000	117.000000
118.000000	201	24037.000000	1035.000000	118.000000
119.000000	201	24242.000000	1041.000000	119.000000
120.000000	201	24447.000000	1047.000000	120.000000
121.000000	201	24652.000000	1053.000000	121.000000
122.000000	201	24857.000000	1059.000000	122.000000
123.000000	201	25062.000000	1071.000000	123.000000
124.000000	201	25267.000000	1077.000000	124.000000
125.000000	201	25472.000000	1089.000000	125.000000
126.000000	201	25677.000000	1095.000000	126.000000
127.000000	201	25882.000000	1107.000000	127.000000
128.000000	201	26087.000000	1113.000000	128.000000
129.000000	201	26292.000000	1119.000000	129.000000
130.000000	201	26497.000000	1125.000000	130.000000
131.000000	201	26702.000000	1131.000000	131.000000
132.000000	201	26907.000000	1137.000000	132.000000
133.000000	201	27112.000000	1143.000000	133.000000
134.000000	201	27317.000000	1149.000000	134.000000
135.000000	201	27522.000000	1161.000000	135.000000
136.000000	201	27727.000000	1167.000000	136.000000
137.000000	201	27932.000000	1173.000000	137.000000
138.000000	201	28137.000000	1179.000000	138.000000
139.000000	201	28342.000000	1185.000000	139.000000
140.000000	201	28547.000000	1191.000000	140.000000
141.000000	201	28752.000000	1197.000000	141.000000
142.000000	201	28957.000000	1203.000000	142.000000
143.000000	201	29162.000000	1209.000000	143.000000
144.000000	201	29367.000000	1221.000000	144.000000
145.000000	201	29572.000000	1227.000000	145.000000
146.000000	201	29777.000000	1233.000000	146.000000
147.000000	201	29982.000000	1239.000000	147.000000
148.000000	201	30187.000000	1245.000000	148.000000
149.000000	201	30392.000000	1251.000000	149.000000
150.000000	201	30597.000000	1257.000000	150.000000
151.000000	201	30802.000000	1263.000000	151.000000
152.000000	201	31007.000000	1269.000000	152.000000
153.000000	201	31212.000000	1281.000000	153.000000
154.000000	201	31417.000000	1287.000000	154.000000
155.000000	201	31622.000000	1293.000000	155.000000
156.000000	201	31827.000000	1299.000000	156.000000
157.000000	201	32032.000000	1305.000000	157.000000
158.000000	201	32237.000000	1311.000000	158.000000
159.000000	201	32442.000000	1317.000000	159.000000
160.000000	201	32647.000000	1323.000000	160.000000
161.000000	201	32852.000000	1329.000000	161.000000
162.000000	201	33057.000000	1335.000000	162.000000
163.000000	201	33262.000000	1341.000000	163.000000
164.000000	201	33467.000000	1347.000000	164.000000
165.000000	201	33672.000000	1353.000000	165.000000
166.000000	201	33877.000000	1359.000000	166.000000
167.000000	201	34082.000000	1365.000000	167.000000
168.000000	201	34287.000000	1371.000000	168.000000
169.000000	201	34492.000000	1377.000000	169.000000
170.000000	201	34697.000000	1383.000000	170.000000
171.000000	201	34902.000000	1389.000000	171.000000
172.000000	201	35107.000000	1395.000000	172.000000
173.000000	201	35312.000000	1401.000000	173.000000
174.000000	201	35517.000000	1407.000000	174.000000
175.000000	201	35722.000000	1413.000000	175.000000
176.000000	201	35927.000000	1419.000000	176.000000
177.000000	201	36132.000000	1425.000000	177.000000
178.000000	201	36337.000000	1437.000000	178.000000
179.000000	201	36542.000000	1443.000000	179.000000
180.000000	201	36747.000000	1451.000000	180.000000
181.000000	201	36952.000000	1457.000000	181.000000
182.000000	201	37157.000000	1469.000000	182.000000
183.000000	201	37362.000000	1475.000000	183.000000
184.000000	201	37567.000000	1481.000000	184.000000
185.000000	201	37772.000000	1487.000000	185.000000
186.000000	201	37977.000000	1493.000000	186.000000
187.000000	201	38182.000000	1505.000000	187.000000
188.000000	201	38387.000000	1511.000000	188.000000
189.000000	201	38592.000000	1517.000000	189.000000
190.000000	201	38797.000000	1523.000000	190.000000
191.000000	201	39002.000000	1529.000000	191.000000
192.000000	201	39207.000000	1535.000000	192.000000
193.000000	201	39412.000000	1541.000000	193.000000
194.000000	201	39617.000000	1547.000000	194.000000
195.000000	201	39822.000000	1553.000000	195.000000
196.000000	201	40027.000000	1559.000000	196.000000
197.000000	201	40232.000000	1565.000000	197.000000
198.000000	201	40437.000000	1577.000000	198.000000
199.000000	201	40642.000000	1583.000000	199.000000
200.000000	201	40847.000000	1589.000000	200.000000
201.000000	201	41052.000000	1613.000000	201.000000
202.000000	201	41257.000000	1619.000000	202.000000
203.000000	201	41462.000000	1625.000000	203.000000
204.000000	201	41667.000000	1631.000000	204.000000
205.000000	201	41872.000000	1637.000000	205.000000
206.000000	201	42077.000000	1643.000000	206.000000
207.000000	201	42282.000000	1655.000000	207.000000
208.000000	201	42487.000000	1661.000000	208.000000
209.000000	201	42692.000000	1667.000000	209.000000
210.000000	201	42897.000000	1679.000000	210.000000
211.000000	201	43102.000000	1685.000000	211.000000
212.000000	201	43307.000000	1691.000000	212.000000
213.000000	201	43512.000000	1697.000000	213.000000
214.000000	201	43717.000000	1703.000000	214.000000
215.000000	201	43922.000000	1709.000000	215.000000
216.000000	201	44127.000000	1715.000000	216.000000
217.000000	201	44332.000000	1721.000000	217.000000
218.000000	201	44537.000000	1727.000000	218.000000
219.000000	201	44742.000000	1733.000000	219.000000
220.000000	201	44947.000000	1739.000000	220.000000
221.000000	201	45152.000000	1745.000000	221.000000
222.000000	201	45357.000000	1751.000000	222.000000
223.000000	201	45562.000000	1763.000000	223.000000
224.000000	201	45767.000000	1769.000000	224.000000
225.000000	201	45972.000000	1775.000000	225.000000
226.000000	201	46177.000000	1781.000000	226.000000
227.000000	201	46382.000000	1787.000000	227.000000
228.000000	201	46587.000000	1793.000000	228.000000
229.000000	201	46792.000000	1805.000000	229.000000
230.000000	201	46997.000000	1817.000000	230.000000
231.000000	201	47202.000000	1823.000000	231.000000
232.000000	201	47407.000000	1829.000000	232.000000
233.000000	201	47612.000000	1835.000000	233.000000
234.000000	201	47817.000000	1841.000000	234.000000
235.000000	201	48022.000000	1853.000000	235.000000
236.000000	201	48227.000000	1865.000000	236.000000
237.000000	201	48432.000000	1871.000000	237.000000
238.000000	201	48637.000000	1877.000000	238.000000
239.000000	201	48842.000000	1883.000000	239.000000
240.000000	201	49047.000000	1889.000000	240.000000
241.000000	201	49252.000000	1895.000000	241.000000
242.000000	201	49457.000000	1901.000000	242.000000
243.000000	201	49662.000000	1933.000000	243.000000
244.000000	201	49867.000000	1939.000000	244.000000
245.000000	201	50072.000000	1945.000000	245.000000
246.000000	201	50277.000000	1951.000000	246.000000
247.000000	201	50482.000000	1957.000000	247.000000
248.000000	201	50687.000000	1963.000000	248.000000
249.000000	201	50892.000000	1969.000000	249.000000
250.000000	201	51097.000000	1975.000000	250.000000
251.000000	201	51302.000000	1981.000000	251.000000
252.000000	201	51507.000000	1987.000000	252.000000
253.000000	201	51712.000000	1993.000000	253.000000
254.000000	201	51917.000000	1999.000000	254.000000
255.000000	201	52122.000000	2005.000000	255.000000
256.000000	201	52327.000000	2011.000000	256.000000
257.000000	201	52532.000000	2017.000000	257.000000
258.000000	201	52737.000000	2023.000000	258.000000
259.000000	201	52942.000000	2029.000000	259.000000
260.000000	201	53147.000000	2035.000000	260.000000
261.000000	201	53352.000000	2041.000000	261.000000
262.000000	201	53557.000000	2047.000000	262.000000
263.000000	201	53762.000000	2053.000000	263.000000
264.000000	201	53967.000000	2059.000000	264.000000
265.000000	201	54172.000000	2065.000000	265.000000
266.000000	201	54377.000000	2071.000000	266.000000
267.000000	201	54582.000000	2083.000000	267.000000
268.000000	201	54787.000000	2089.000000	268.000000
269.000000	201	54992.000000	2095.000000	269.000000
270.000000	201	55197.000000	2101.000000	270.000000
271.000000	201	55402.000000	2107.000000	271.000000
272.000000	201	55607.000000	2113.000000	272.000000
273.000000	201	55812.000000	2119.000000	273.000000
274.000000	201	56017.000000	2125.000000	274.000000
275.000000	201	56222.000000	2131.000000	275.000000
276.000000	201	56427.000000	2137.000000	276.000000
277.000000	201	56632.000000	2143.000000	277.000000
278.000000	201	56837.000000	2155.000000	278.000000
279.000000	201	57042.000000	2161.000000	279.000000
280.000000	201	57247.000000	2167.000000	280.000000
281.000000	201	57452.000000	2173.000000	281.000000
282.000000	201	57657.000000	2179.000000	282.000000
283.000000	201	57862.000000	2185.000000	283.000000
284.000000	201	58067.000000	2203.000000	284.000000
285.000000	201	58272.000000	2209.000000	285.000000
286.000000	201	58477.000000	2215.000000	286.000000
287.000000	201	58682.000000	2227.000000	287.000000
288.000000	201	58887.000000	2233.000000	288.000000
289.000000	201	59092.000000	2239.000000	289.000000
290.000000	201	59297.000000	2245.000000	290.000000
291.000000	201	59502.000000	2251.000000	291.000000
292.000000	201	59707.000000	2257.000000	292.000000
293.000000	201	59912.000000	2263.000000	293.000000
294.000000	201	60117.000000	2269.000000	294.000000
295.000000	201	60322.000000	2275.000000	295.000000
296.000000	201	60527.000000	2281.000000	296.000000
297.000000	201	60732.000000	2287.000000	297.000000
298.000000	201	60937.000000	2299.000000	298.000000
299.000000	201	61142.000000	2305.000000	299.000000
300.000000	201	61347.000000	2311.000000	300.000000
301.000000	201	61552.000000	2317.000000	301.000000
302.000000	201	61757.000000	2323.000000	302.000000
303.000000	201	61962.000000	2335.000000	303.000000
304.000000	201	62167.000000	2341.000000	304.000000
305.000000	201	62372.000000	2347.000000	305.000000
306.000000	201	62577.000000	2353.000000	306.000000
307.000000	201	62782.000000	2359.000000	307.000000
308.000000	201	62987.000000	2365.000000	308.000000
309.000000	201	63192.000000	2371.000000	309.000000
310.000000	201	63397.000000	2377.000000	310.000000
311.000000	201	63602.000000	2383.000000	311.000000
312.000000	201	63807.000000	2389.000000	312.000000
313.000000	201	64012.000000	2395.000000	313.000000
314.000000	201	64217.000000	2401.000000	314.000000
315.000000	201	64422.000000	2415.000000	315.000000
316.000000	201	64627.000000	2421.000000	316.000000
317.000000	201	64832.000000	2427.000000	317.000000
318.000000	201	65037.000000	2433.000000	318.000000
319.000000	201	65242.000000	2439.000000	319.000000
320.000000	201	65447.000000	2445.000000	320.000000
321.000000	201	65652.000000	2451.000000	321.000000
322.000000	201	65857.000000	2475.000000	322.000000
323.000000	201	66062.000000	2481.000000	323.000000
324.000000	201	66267.000000	2487.000000	324.000000
325.000000	201	66472.000000	2493.000000	325.000000
326.000000	201	66677.000000	2499.000000	326.000000
327.000000	201	66882.000000	2505.000000	327.000000
328.000000	201	67087.000000	2511.000000	328.000000
329.000000	201	67292.000000	2523.000000	329.000000
330.000000	201	67497.000000	2529.000000	330.000000
331.000000	201	67702.000000	2535.000000	331.000000
332.000000	201	67907.000000	2541.000000	332.000000
333.000000	201	68112.000000	2547.000000	333.000000
334.000000	201	68317.000000	2553.000000	334.000000
335.000000	201	68522.000000	2559.000000	335.000000
336.000000	201	68727.000000	2571.000000	336.000000
337.000000	201	68932.000000	2583.000000	337.000000
338.000000	201	69137.000000	2589.000000	338.000000
339.000000	201	69342.000000	2595.000000	339.000000
340.000000	201	69547.000000	2601.000000	340.000000
341.000000	201	69752.000000	2607.000000	341.000000
342.000000	201	69957.000000	2619.000000	342.000000
343.000000	201	70162.000000	2637.000000	343.000000
344.000000	201	70367.000000	2649.000000	344.000000
345.000000	201	70572.000000	2655.000000	345.000000
346.000000	201	70777.000000	2661.000000	346.000000
347.000000	201	70982.000000	2673.000000	347.000000
348.000000	201	71187.000000	2679.000000	348.000000
349.000000	201	71392.000000	2685.000000	349.000000
350.000000	201	71597.000000	2691.000000	350.000000
351.000000	201	71802.000000	2703.000000	351.000000
352.000000	201	72007.000000	2709.000000	352.000000
353.000000	201	72212.000000	2715.000000	353.000000
354.000000	201	72417.000000	2721.000000	354.000000
355.000000	201	72622.000000	2727.000000	355.000000
356.000000	201	72827.000000	2733.000000	356.000000
357.000000	201	73032.000000	2739.000000	357.000000
358.000000	201	73237.000000	2745.000000	358.000000
359.000000	201	73442.000000	2751.000000	359.000000
360.000000	201	73647.000000	2757.000000	360.000000
361.000000	201	73852.000000	2763.000000	361.000000
362.000000	201	74057.000000	2775.000000	362.000000
363.000000	201	74262.000000	2781.000000	363.000000
364.000000	201	74467.000000	2787.000000	364.000000
365.000000	201	74672.000000	2799.000000	365.000000
366.000000	201	74877.000000	2805.000000	366.000000
367.000000	201	75082.000000	2811.000000	367.000000
368.000000	201	75287.000000	2817.000000	368.000000
369.000000	201	75492.000000	2823.000000	369.000000
370.000000	201	75697.000000	2829.000000	370.000000
371.000000	201	75902.000000	2841.000000	371.000000
372.000000	201	76107.000000	2853.000000	372.000000
373.000000	201	76312.000000	2859.000000	373.000000
374.000000	201	76517.000000	2883.000000	374.000000
375.000000	201	76722.000000	2889.000000	375.000000
